id,place_name,city,state,zone,place_type,category,significance,rating,review_count_lakhs,entrance_fee_inr,visit_duration_hrs,airport_nearby,dslr_allowed,weekly_off,best_time_of_day,established_year,latitude,longitude,interest_tags,adventure_score,culture_score,nature_score,relaxation_score,food_social_score
1,India Gate,Delhi,Delhi,Northern,War Memorial,Heritage,Historical,4.6,2.6,0,0.5,Yes,Yes,,Evening,1921,28.612912,77.2295097,Cultural & Heritage Sites,0,7,0,0,0
2,Humayun's Tomb,Delhi,Delhi,Northern,Tomb,Heritage,Historical,4.5,0.4,30,2.0,Yes,Yes,,Afternoon,1572,28.5932848,77.2507492,Cultural & Heritage Sites,0,7,0,0,0
3,Akshardham Temple,Delhi,Delhi,Northern,Temple,Religious,Religious,4.6,0.4,60,5.0,Yes,No,,Afternoon,2005,28.6126735,77.2772619,Religious & Spiritual Pilgrimages,0,5,0,0,0
4,Waste to Wonder Park,Delhi,Delhi,Northern,Theme Park,Nature,Environmental,4.1,0.27,50,2.0,Yes,Yes,Monday,Evening,2019,28.5926939,77.2569715,Adventure & Outdoor Activities,5,0,10,5,0
5,Jantar Mantar,Delhi,Delhi,Northern,Observatory,Culture,Scientific,4.2,0.31,15,2.0,Yes,Yes,,Morning,1724,28.6270547,77.2166267,"Arts, Science & Literature Attractions",0,7,0,0,0
6,Chandni Chowk,Delhi,Delhi,Northern,Market,Shopping,Market,4.2,0.25,0,3.0,Yes,Yes,Sunday,Afternoon,1700,28.6505331,77.230337,Shopping & Markets,0,0,0,0,7
7,Lotus Temple,Delhi,Delhi,Northern,Temple,Religious,Religious,4.5,0.59,0,1.0,Yes,Yes,Monday,Evening,1986,28.553492,77.2588264,Religious & Spiritual Pilgrimages,0,5,0,0,0
8,Red Fort,Delhi,Delhi,Northern,Fort,Heritage,Historical,4.5,1.5,35,2.0,Yes,Yes,,Afternoon,1648,28.6561592,77.2410203,Cultural & Heritage Sites,0,7,0,0,0
9,Agrasen ki Baoli,Delhi,Delhi,Northern,Stepwell,Heritage,Historical,4.2,0.41,0,1.0,Yes,Yes,,Afternoon,1400,28.626062,77.2250369,Cultural & Heritage Sites,0,7,0,0,0
10,Sunder Nursery,Delhi,Delhi,Northern,Park,Nature,Botanical,4.6,0.16,0,2.0,Yes,Yes,,Afternoon,1600,28.5956467,77.2451691,Natural Landscapes & Wildlife,3,0,10,5,0
11,Garden of Five Senses,Delhi,Delhi,Northern,Park,Nature,Botanical,4.1,0.23,35,2.0,Yes,Yes,,Morning,2003,28.513403,77.1975227,Natural Landscapes & Wildlife,3,0,10,5,0
12,Lodhi Garden,Delhi,Delhi,Northern,Park,Nature,Botanical,4.5,0.48,0,1.0,Yes,Yes,,All,1500,28.5936814,77.2218338,Natural Landscapes & Wildlife,3,0,10,5,0
13,National Gallery of Modern Art,Delhi,Delhi,Northern,Museum,Culture,Artistic,4.5,0.08,20,3.0,Yes,Yes,Monday,All,1954,28.6101926,77.2344179,"Arts, Science & Literature Attractions",0,7,0,0,0
14,National Zoological Park ,Delhi,Delhi,Northern,Zoo,Nature,Environmental,4.1,0.41,80,3.0,Yes,Yes,Friday,All,1959,38.9296156,77.0497844,Natural Landscapes & Wildlife,3,0,7,0,0
15,Qutub Minar,Delhi,Delhi,Northern,Monument,Heritage,Historical,4.5,1.37,35,1.0,Yes,Yes,,Afternoon,1192,28.5244946,77.1855177,Cultural & Heritage Sites,0,7,0,0,0
16,National Science Centre,Delhi,Delhi,Northern,Science,Culture,Scientific,4.4,0.23,70,5.0,Yes,Yes,,All,1992,28.6127836,77.2455584,"Arts, Science & Literature Attractions",0,7,0,0,0
